Date,Vaccine,Dose,Cumul
2021-12-14,ETC,완료,68998 
2021-12-15,ETC,완료,69020 
2021-12-16,ETC,완료,69034 
2021-12-17,ETC,완료,69053 
2021-12-18,ETC,완료,69074 
2021-12-19,ETC,완료,69093 
2021-12-20,ETC,완료,69101 
2021-12-21,ETC,완료,69133 
2021-12-22,ETC,완료,69151 
2021-12-23,ETC,완료,69170 
2021-12-24,ETC,완료,69201 
2021-12-25,ETC,완료,69210 
2021-12-26,ETC,완료,69213 
2021-12-27,ETC,완료,69229 
2021-12-28,ETC,완료,69239 
2021-12-29,ETC,완료,69257 
2021-12-30,ETC,완료,69266 
2021-12-31,ETC,완료,69271 
2022-01-01,ETC,완료,69278 
2022-01-02,ETC,완료,69288 
2022-01-03,ETC,완료,69309 
2022-01-04,ETC,완료,69350 
2022-01-05,ETC,완료,69365 
2022-01-06,ETC,완료,69382 
2022-01-07,ETC,완료,69393 
2022-01-08,ETC,완료,69405 
2022-01-09,ETC,완료,69409 
2022-01-10,ETC,완료,69418 
2022-01-11,ETC,완료,69423 
2022-01-12,ETC,완료,69431 
2022-01-13,ETC,완료,69439 
2022-01-14,ETC,완료,69453 
2022-01-15,ETC,완료,69459 
2022-01-16,ETC,완료,69462 
2022-01-17,ETC,완료,69467 
2022-01-18,ETC,완료,69476 
2022-01-19,ETC,완료,69482 
2022-01-20,ETC,완료,69489 
2022-01-21,ETC,완료,69494 
2022-01-22,ETC,완료,69498 
2022-01-23,ETC,완료,69502 
2022-01-24,ETC,완료,69507 
2022-01-25,ETC,완료,69509 
2022-01-26,ETC,완료,69513 
2022-01-27,ETC,완료,69515 
2022-01-28,ETC,완료,69516 
2022-01-29,ETC,완료,69517 
2022-01-30,ETC,완료,69517 
2022-01-31,ETC,완료,69518 
2022-02-01,ETC,완료,69518 
2022-02-02,ETC,완료,69519 
2022-02-03,ETC,완료,69520 
2022-02-04,ETC,완료,69520 
2022-02-05,ETC,완료,69520 
2022-02-06,ETC,완료,69520 
2022-02-07,ETC,완료,69520 
2022-02-08,ETC,완료,69520 
2022-02-09,ETC,완료,69520 
2022-02-10,ETC,완료,69520 
2022-02-11,ETC,완료,69520 
2022-02-12,ETC,완료,69521 
2022-02-13,ETC,완료,69521 
2022-02-14,ETC,완료,69521 
2022-02-15,ETC,완료,69522 
2022-02-16,ETC,완료,69522 
2022-02-17,ETC,완료,69522 
2021-10-31,NV,1차,0 
2021-11-01,NV,1차,0 
2021-11-02,NV,1차,0 
2021-11-03,NV,1차,0 
2021-11-04,NV,1차,0 
2021-11-05,NV,1차,0 
2021-11-06,NV,1차,0 
2021-11-07,NV,1차,0 
2021-11-08,NV,1차,0 
2021-11-09,NV,1차,0 
2021-11-10,NV,1차,0 
2021-11-11,NV,1차,0 
2021-11-12,NV,1차,0 
2021-11-13,NV,1차,0 
2021-11-14,NV,1차,0 
2021-11-15,NV,1차,0 
2021-11-16,NV,1차,0 
2021-11-17,NV,1차,0 
2021-11-18,NV,1차,0 
2021-11-19,NV,1차,0 
2021-11-20,NV,1차,0 
2021-11-21,NV,1차,0 
2021-11-22,NV,1차,0 
2021-11-23,NV,1차,0 
2021-11-24,NV,1차,0 
2021-11-25,NV,1차,0 
2021-11-26,NV,1차,0 
2021-11-27,NV,1차,0 
2021-11-28,NV,1차,0 
2021-11-29,NV,1차,0 
2021-11-30,NV,1차,0 
2021-12-01,NV,1차,0 
2021-12-02,NV,1차,0 
2021-12-03,NV,1차,0 
2021-12-04,NV,1차,0 
2021-12-05,NV,1차,0 
2021-12-06,NV,1차,0 
2021-12-07,NV,1차,0 
2021-12-08,NV,1차,0 
2021-12-09,NV,1차,0 
2021-12-10,NV,1차,0 
2021-12-11,NV,1차,0 
2021-12-12,NV,1차,0 
2021-12-13,NV,1차,0 
2021-12-14,NV,1차,0 
2021-12-15,NV,1차,0 
2021-12-16,NV,1차,0 
2021-12-17,NV,1차,0 
2021-12-18,NV,1차,0 
2021-12-19,NV,1차,0 
2021-12-20,NV,1차,0 
2021-12-21,NV,1차,0 
2021-12-22,NV,1차,0 
2021-12-23,NV,1차,0 
2021-12-24,NV,1차,0 
2021-12-25,NV,1차,0 
2021-12-26,NV,1차,0 
2021-12-27,NV,1차,0 
2021-12-28,NV,1차,0 
2021-12-29,NV,1차,0 
2021-12-30,NV,1차,0 
2021-12-31,NV,1차,0 
2022-01-01,NV,1차,0 
2022-01-02,NV,1차,0 
2022-01-03,NV,1차,0 
2022-01-04,NV,1차,0 
2022-01-05,NV,1차,0 
2022-01-06,NV,1차,0 
2022-01-07,NV,1차,0 
2022-01-08,NV,1차,0 
2022-01-09,NV,1차,0 
2022-01-10,NV,1차,0 
2022-01-11,NV,1차,0 
2022-01-12,NV,1차,0 
2022-01-13,NV,1차,0 
2022-01-14,NV,1차,0 
2022-01-15,NV,1차,0 
2022-01-16,NV,1차,0 
2022-01-17,NV,1차,0 
2022-01-18,NV,1차,0 
2022-01-19,NV,1차,0 
2022-01-20,NV,1차,0 
2022-01-21,NV,1차,0 
2022-01-22,NV,1차,0 
2022-01-23,NV,1차,0 
2022-01-24,NV,1차,0 
2022-01-25,NV,1차,0 
2022-01-26,NV,1차,0 
2022-01-27,NV,1차,0 
2022-01-28,NV,1차,0 
2022-01-29,NV,1차,0 
2022-01-30,NV,1차,0 
2022-01-31,NV,1차,0 
2022-02-01,NV,1차,0 
2022-02-02,NV,1차,0 
2022-02-03,NV,1차,0 
2022-02-04,NV,1차,0 
2022-02-05,NV,1차,0 
2022-02-06,NV,1차,0 
2022-02-07,NV,1차,0 
2022-02-08,NV,1차,0 
2022-02-09,NV,1차,0 
2022-02-10,NV,1차,0 
2022-02-11,NV,1차,1 
2022-02-12,NV,1차,2 
2022-02-13,NV,1차,2 
2022-02-14,NV,1차,4330 
2022-02-15,NV,1차,9429 
2022-02-16,NV,1차,14619 
2022-02-17,NV,1차,19611 
2021-10-31,NV,완료,0 
2021-11-01,NV,완료,0 
2021-11-02,NV,완료,0 
2021-11-03,NV,완료,0 
2021-11-04,NV,완료,0 
2021-11-05,NV,완료,0 
2021-11-06,NV,완료,0 
2021-11-07,NV,완료,0 
2021-11-08,NV,완료,0 
2021-11-09,NV,완료,0 
2021-11-10,NV,완료,0 
2021-11-11,NV,완료,0 
2021-11-12,NV,완료,0 
2021-11-13,NV,완료,0 
2021-11-14,NV,완료,0 
2021-11-15,NV,완료,0 
2021-11-16,NV,완료,0 
2021-11-17,NV,완료,0 
2021-11-18,NV,완료,0 
2021-11-19,NV,완료,0 
2021-11-20,NV,완료,0 
2021-11-21,NV,완료,0 
2021-11-22,NV,완료,0 
2021-11-23,NV,완료,0 
2021-11-24,NV,완료,0 
2021-11-25,NV,완료,0 
2021-11-26,NV,완료,0 
2021-11-27,NV,완료,0 
2021-11-28,NV,완료,0 
2021-11-29,NV,완료,0 
2021-11-30,NV,완료,0 
2021-12-01,NV,완료,0 
2021-12-02,NV,완료,0 
2021-12-03,NV,완료,0 
2021-12-04,NV,완료,0 
2021-12-05,NV,완료,0 
2021-12-06,NV,완료,0 
2021-12-07,NV,완료,0 
2021-12-08,NV,완료,0 
2021-12-09,NV,완료,0 
2021-12-10,NV,완료,0 
2021-12-11,NV,완료,0 
2021-12-12,NV,완료,0 
2021-12-13,NV,완료,0 
2021-12-14,NV,완료,0 
2021-12-15,NV,완료,0 
2021-12-16,NV,완료,0 
2021-12-17,NV,완료,0 
2021-12-18,NV,완료,0 
2021-12-19,NV,완료,0 
2021-12-20,NV,완료,0 
2021-12-21,NV,완료,0 
2021-12-22,NV,완료,0 
2021-12-23,NV,완료,0 
2021-12-24,NV,완료,0 
2021-12-25,NV,완료,0 
2021-12-26,NV,완료,0 
2021-12-27,NV,완료,0 
2021-12-28,NV,완료,0 
2021-12-29,NV,완료,0 
2021-12-30,NV,완료,0 
2021-12-31,NV,완료,0 
2022-01-01,NV,완료,0 
2022-01-02,NV,완료,0 
2022-01-03,NV,완료,0 
2022-01-04,NV,완료,0 
2022-01-05,NV,완료,0 
2022-01-06,NV,완료,0 
2022-01-07,NV,완료,0 
2022-01-08,NV,완료,0 
2022-01-09,NV,완료,0 
2022-01-10,NV,완료,0 
2022-01-11,NV,완료,0 
2022-01-12,NV,완료,0 
2022-01-13,NV,완료,0 
2022-01-14,NV,완료,0 
2022-01-15,NV,완료,0 
2022-01-16,NV,완료,0 
2022-01-17,NV,완료,0 
2022-01-18,NV,완료,0 
2022-01-19,NV,완료,0 
2022-01-20,NV,완료,0 
2022-01-21,NV,완료,0 
2022-01-22,NV,완료,0 
2022-01-23,NV,완료,0 
2022-01-24,NV,완료,0 
2022-01-25,NV,완료,0 
2022-01-26,NV,완료,0 
2022-01-27,NV,완료,0 
2022-01-28,NV,완료,0 
2022-01-29,NV,완료,0 
2022-01-30,NV,완료,0 
2022-01-31,NV,완료,0 
2022-02-01,NV,완료,0 
2022-02-02,NV,완료,0 
2022-02-03,NV,완료,0 
2022-02-04,NV,완료,0 
2022-02-05,NV,완료,0 
2022-02-06,NV,완료,0 
2022-02-07,NV,완료,0 
2022-02-08,NV,완료,0 
2022-02-09,NV,완료,0 
2022-02-10,NV,완료,0 
2022-02-11,NV,완료,0 
2022-02-12,NV,완료,0 
2022-02-13,NV,완료,0 
2022-02-14,NV,완료,89 
2022-02-15,NV,완료,263 
2022-02-16,NV,완료,454 
2022-02-17,NV,완료,706 
2021-10-31,AZ,1차,11068549 
2021-11-01,AZ,1차,11068692 
2021-11-02,AZ,1차,11068893 
2021-11-03,AZ,1차,11069138 
2021-11-04,AZ,1차,11069345 
2021-11-05,AZ,1차,11069539 
2021-11-06,AZ,1차,11069566 
2021-11-07,AZ,1차,11069571 
2021-11-08,AZ,1차,11069657 
2021-11-09,AZ,1차,11069730 
2021-11-10,AZ,1차,11069793 
2021-11-11,AZ,1차,11069865 
2021-11-12,AZ,1차,11069917 
2021-11-13,AZ,1차,11069921 
2021-11-14,AZ,1차,11069924 
2021-11-15,AZ,1차,11069968 
2021-11-16,AZ,1차,11069990 
2021-11-17,AZ,1차,11070004 
2021-11-18,AZ,1차,11070072 
2021-11-19,AZ,1차,11070123 
2021-11-20,AZ,1차,11070129 
2021-11-21,AZ,1차,11070130 
2021-11-22,AZ,1차,11070145 
2021-11-23,AZ,1차,11070162 
2021-11-24,AZ,1차,11070190 
2021-11-25,AZ,1차,11070210 
2021-11-26,AZ,1차,11070289 
2021-11-27,AZ,1차,11070291 
2021-11-28,AZ,1차,11070292 
2021-11-29,AZ,1차,11070351 
2021-11-30,AZ,1차,11070418 
2021-12-01,AZ,1차,11070428 
2021-12-02,AZ,1차,11070441 
2021-12-03,AZ,1차,11070449 
2021-12-04,AZ,1차,11070450 
2021-12-05,AZ,1차,11070450 
2021-12-06,AZ,1차,11070459 
2021-12-07,AZ,1차,11070459 
2021-12-08,AZ,1차,11070460 
2021-12-09,AZ,1차,11070462 
2021-12-10,AZ,1차,11070471 
2021-12-11,AZ,1차,11070472 
2021-12-12,AZ,1차,11070472 
2021-12-13,AZ,1차,11070474 
2021-12-14,AZ,1차,11070477 
2021-12-15,AZ,1차,11070479 
2021-12-16,AZ,1차,11070479 
2021-12-17,AZ,1차,11070481 
2021-12-18,AZ,1차,11070481 
2021-12-19,AZ,1차,11070481 
2021-12-20,AZ,1차,11070481 
2021-12-21,AZ,1차,11070481 
2021-12-22,AZ,1차,11070482 
2021-12-23,AZ,1차,11070482 
2021-12-24,AZ,1차,11070483 
2021-12-25,AZ,1차,11070483 
2021-12-26,AZ,1차,11070483 
2021-12-27,AZ,1차,11070485 
2021-12-28,AZ,1차,11070486 
2021-12-29,AZ,1차,11070488 
2021-12-30,AZ,1차,11070488 
2021-12-31,AZ,1차,11070488 
2022-01-01,AZ,1차,11070488 
2022-01-02,AZ,1차,11070488 
2022-01-03,AZ,1차,11070488 
2022-01-04,AZ,1차,11070488 
2022-01-05,AZ,1차,11070488 
2022-01-06,AZ,1차,11070489 
2022-01-07,AZ,1차,11070489 
2022-01-08,AZ,1차,11070489 
2022-01-09,AZ,1차,11070489 
2022-01-10,AZ,1차,11070493 
2022-01-11,AZ,1차,11070493 
2022-01-12,AZ,1차,11070493 
2022-01-13,AZ,1차,11070493 
2022-01-14,AZ,1차,11070493 
2022-01-15,AZ,1차,11070493 
2022-01-16,AZ,1차,11070493 
2022-01-17,AZ,1차,11070493 
2022-01-18,AZ,1차,11070493 
2022-01-19,AZ,1차,11070493 
